index	*ID	version	enabled	ladder	rarity	nolimit	lvl	lvl req	code	*ItemName	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	diablocloneweight	*eol
Pullspite	64	0	1		1	1	34	25	jew	Short Battle Bow		5	5000	lgrn							dmg-ltng		1	30	str		8	8	att		28	28	pierce		25	25	res-ltng		25	25	dmg%		70	90																										0
Wizendraw	65	0	1		1	1	35	26	jew	Long Battle Bow		5	5000	dgrn	dgrn						magicarrow		5	5	mana		30	30	swing2		20	20	res-cold		26	26	att		50	100	dmg%		70	80	enr		15	15	pierce-cold		20	35																		0
Hellclap	66	0	1		1	1	36	27	jew	Short War Bow		5	5000	cgrn							swing1		10	10	fire-min		15	15	fire-max		30	50	att		50	75	res-fire		40	40	dex		12	12	dmg%		70	90	fireskill		1	1																		0
Blastbark	67	0	1		1	1	38	28	jew	Long War Bow		5	5000	lyel	lyel						dmg%		70	130	str		5	5	ama		1	1	manasteal		3	3	skill	16	2	2																														0
Leadcrow	68	0	1		1	1	12	9	jew	Light Crossbow		5	5000	dyel							dex		10	10	hp		10	10	dmg%		70	70	res-pois		30	30	deadly		25	25	att		40	40																										0
Ichorsting	69	0	1		1	1	24	18	jew	Crossbow		5	5000	lgld							dmg-pois	75	102	102	dex		20	20	pierce		50	50	att		50	50	dmg%		50	50	swing2		20	20																										0
Hellcast	70	0	1		1	1	36	27	jew	Heavy Crossbow		5	5000	dgld							explosivearrow		5	5	res-fire-max		15	15	res-fire		15	15	att		70	70	swing2		20	20	dmg%		70	80	dmg-fire		15	35																						0
Doomspittle	71	0	1		1	1	38	28	jew	Repeating Crossbow		5	5000	lpur							ama		1	1	pierce		35	35	swing3		30	30	hp		15	15	dmg%		60	100																														0
War Bonnet	72	0	1		1	1	4	3	jew	Cap		5	5000	dpur							hp		15	15	att		30	30	dmg%		30	30	mana		15	15	ac		14	14																														0
Tarnhelm	73	0	1		1	1	20	15	jew	Skull Cap		5	5000	oran	oran						gold%		75	75	mag%		25	50	allskills		1	1																																						0
Coif of Glory	74	0	1		1	1	19	14	jew	Helm		5	5000	whit							light-thorns		7	7	stupidity		1	1	res-ltng		15	15	ac-miss		100	100	ac		10	10																														0
Duskdeep	75	0	1		1	1	23	17	jew	Full Helm		5	5000	lgry							light		-2	-2	res-all		15	15	red-dmg		7	7	dmg-max		8	8	ac		10	20	ac%		30	50																										0
Wormskull	76	0	1		1	1	28	21	jew	Bone Helm		5	5000	lgrn							nec		1	1	lifesteal		5	5	mana		10	10	res-pois		25	25	dmg-pois	200	102	102																														0
Howltusk	77	0	1		1	1	34	25	jew	Great Helm		5	5000	dgry	dgry						red-mag		2	2	thorns		3	3	ac%		80	80	dmg-to-mana		35	35	knock		1	1	howl		33	33																										0
Undead Crown	78	0	1		1	1	39	29	jew	Crown		5	5000	blac	blac						lifesteal		5	5	ac		40	40	res-pois		50	50	half-freeze		1	1	ac%		30	60	dmg-undead		50	50	att-undead		50	100	skill	69	3	3																		0
The Face of Horror	79	0	1		1	1	27	20	jew	Mask		5	5000	lblu	lblu						howl		64	64	str		20	20	res-all		10	10	dmg-undead		50	50	ac		25	25																														0
Greyform	80	0	1		1	1	10	7	jew	Quilted Armor		5	5000	lgry	lgry						red-mag		3	3	res-cold		20	20	res-fire		20	20	dex		10	10	lifesteal		5	5	ac		20	20																										0
Blinkbats Form	81	0	1		1	1	16	12	jew	Leather Armor		5	5000	dred	dred						ac-miss		50	50	move2		10	10	ac		25	25	fire-min		3	3	fire-max		6	6	balance2		40	40																										0
The Centurion	82	0	1		1	1	19	14	jew	Hard Leather		5	5000	cred	cred						ac		30	30	att		50	50	red-dmg		2	2	hp		15	15	mana		15	15	stam		15	15	regen		5	5	stamdrain		25	25																		0
Twitchthroe	83	0	1		1	1	22	16	jew	Studded Leather		5	5000	lgrn	lgrn						swing2		20	20	dex		10	10	block		25	25	ac		25	25	str		10	10	balance2		20	20																										0
Darkglow	84	0	1		1	1	19	14	jew	Ring Mail		5	5000	dgrn	dgrn						att		20	20	res-all-max		5	5	light		3	3	ac-hth		50	50	res-all		10	10	ac%		70	100																										0
Hawkmail	85	0	1		1	1	20	15	jew	Scale Mail		5	5000	cgrn	cgrn						ac%		80	100	res-cold-max		15	15	res-cold		15	15	nofreeze		1	1	move2		10	10																														0
Sparking Mail	86	0	1		1	1	23	17	jew	Chain Mail		5	5000	lyel	lyel						ac%		75	85	dmg-ltng		1	20	light-thorns		10	14	res-ltng		30	30																																		0
Venomsward	87	0	1		1	1	27	20	jew	Breast Plate		5	5000	dyel	dyel						res-pois-max		15	15	res-pois-len		50	50	res-pois		90	90	light		2	2	ac%		60	100																														0
Iceblink	88	0	1		1	1	30	22	jew	Splint Mail		5	5000	lgld	lgld						freeze		1	1	res-cold		30	30	light		4	4	red-mag		1	1	ac%		70	80																														0
Boneflesh	89	0	1		1	1	35	26	jew	Plate Mail		5	5000	dgld	dgld						lifesteal		5	5	ac%		100	120	att		35	35	openwounds		25	25																																		0
Rockfleece	90	0	1		1	1	38	28	jew	Field Plate		5	5000	dgry	dgry						ease		-10	-10	ac%		100	130	red-dmg%		10	10	red-dmg		5	5	str		5	5																														0
Rattlecage	91	0	1		1	1	39	29	jew	Gothic Plate		5	5000	dpur	dpur						howl		52	52	att		45	45	crush		25	25	ac		200	200																																		0
Goldskin	92	0	1		1	1	38	28	jew	Full Plate Mail		5	5000	oran							ac%		120	150	res-all		35	35	thorns		10	10	light		2	2	gold%		100	100																														0
Victors Silk	93	0	1		1	1	38	28	jew	AncientArmor		5	5000	dblu							manasteal		5	5	allskills		1	1	light		2	2	ac%		100	120																																		0
Heavenly Garb	94	0	1		1	1	39	29	jew	Light Plate		5	5000	cblu	cblu						ac%		100	100	res-all		10	10	regen-mana		25	25	enr		15	15	dmg-undead		50	50	att-undead		100	100																										0
Pelta Lunata	95	0	1		1	1	3	2	jew	Buckler		5	5000	whit							ac		30	30	vit		10	10	str		2	2	enr		10	10	ac%		30	40	block		20	20	block2		40	40	dur		8	12																		0
Umbral Disk	96	0	1		1	1	12	9	jew	Small Shield		5	5000	lgry							stupidity		1	1	dex		10	10	ac		30	30	hp		20	20	light		-2	-2	ac%		40	50	block		30	30	dur		10	15																		0
Stormguild	97	0	1		1	1	18	13	jew	Large Shield		5	5000	dgry							red-mag		1	1	res-ltng		25	25	ac		30	30	dmg-ltng		1	6	ac%		50	60	block		30	30	light-thorns		3	3	dur		10	15																		0
Wall of the Eyeless	98	0	1		1	1	27	20	jew	Bone Shield		5	5000	lgld							mana-kill		5	5	manasteal		3	3	cast2		20	20	res-pois		20	20	ac%		30	40	ac		10	10																										0
Swordback Hold	99	0	1		1	1	20	15	jew	Spiked Shield		5	5000	lred							thorns		5	5	block		20	20	openwounds		50	50	bloody		3	5	ac%		30	60	thorns		5	5	ac		10	10																						0
Steelclash	100	0	1		1	1	23	17	jew	Kite Shield		5	5000	blac							block		25	25	pal		1	1	red-dmg		3	3	light		3	3	ac%		60	100	block2		20	20	res-all		15	15	ac		20	20	dur		15	20														0
Bverrit Keep	101	0	1		1	1	26	19	jew	Tower Shield		5	5000	lblu							ac		30	30	res-fire		75	75	str		5	5	red-mag		5	5	ac%		80	120	block		10	10	dur		80	100																						0
The Ward	102	0	1		1	1	35	26	jew	Gothic Shield		5	5000	dblu							ac		40	40	red-mag		2	2	str		10	10	block		10	10	ac%		100	100	res-all		30	50																										0
The Hand of Broc	103	0	1		1	1	7	5	jew	Gloves		5	5000	cblu	cblu						manasteal		3	3	lifesteal		3	3	res-pois		10	10	mana		20	20	ac		10	10	ac%		10	20																										0
Bloodfist	104	0	1		1	1	12	9	jew	Heavy Gloves		5	5000	oran	oran						dmg-min		5	5	hp		40	40	balance2		30	30	ac		10	10	ac%		10	20	swing2		10	10																										0
Chance Guards	105	0	1		1	1	20	15	jew	Bracers		5	5000	lred	lred						gold%		200	200	mag%		25	40	att		25	25	ac		15	15	light		2	2	ac%		20	30																										0
Magefist	106	0	1		1	1	31	23	jew	Light Gauntlets		5	5000	lgry	lgry						cast3		20	20	regen-mana		25	25	fireskill		1	1	dmg-fire		1	6	ac		10	10	ac%		20	30																										0
Frostburn	107	0	1		1	1	39	29	jew	Gauntlets		5	5000	dred	dred						ac		30	30	dmg%		5	5	mana%		40	40	dmg-cold	50	1	6	ac%		10	20																														0
Hotspur	108	0	1		1	1	7	5	jew	Leather Boots		5	5000	cred	cred						res-fire-max		15	15	hp		15	15	dmg-fire		3	6	ac		6	6	res-fire		45	45	ac%		10	20																										0
Gorefoot	109	0	1		1	1	12	9	jew	Heavy Boots		5	5000	dblu	dblu						bloody		3	5	move2		20	20	manasteal		2	2	thorns		2	2	ac		12	12	ac%		20	30	skill	132	2	2																						0
Treads of Cthon	110	0	1		1	1	20	15	jew	Chain Boots		5	5000	lgrn	lgrn						move2		30	30	ac-miss		50	50	stamdrain		50	50	hp		10	10	ac		12	12	ac%		30	40																										0
Goblin Toe	111	0	1		1	1	30	22	jew	Light Plate Boots		5	5000	dgry	dgry						crush		25	25	red-dmg		1	1	red-mag		1	1	ac		15	15	light		-1	-1	ac%		50	60																										0
Tearhaunch	112	0	1		1	1	39	29	jew	Plate Boots		5	5000	dgrn	dgrn						ac		35	35	str		5	5	dex		5	5	move2		20	20	res-all		10	10	ac%		60	80	skill	115	2	2																						0
Lenyms Cord	113	0	1		1	1	10	7	jew	Sash		5	5000	cgrn	cgrn						mana		15	15	regen-mana		30	30	res-all		5	5	light		1	1																																		0
Snakecord	114	0	1		1	1	16	12	jew	Light Belt		5	5000	blac	blac						dmg-pois	75	40	40	res-pois		25	25	ac		10	10	ac%		20	30	regen		5	5	res-pois-len		50	50																										0
Nightsmoke	115	0	1		1	1	27	20	jew	Belt		5	5000	lyel	lyel						res-all		10	10	dmg-to-mana		50	50	mana		20	20	red-dmg		2	2	ac		15	15	ac%		30	50																										0
Goldwrap	116	0	1		1	1	36	27	jew	Heavy Belt		5	5000	lblu	lblu						mag%		30	30	light		2	2	ac		25	25	swing2		10	10	ac%		40	60	gold%		50	80																										0
Bladebuckle	117	0	1		1	1	39	29	jew	Girdle		5	5000	dyel	dyel						thorns		8	8	ac		30	30	red-dmg		3	3	str		5	5	dex		10	10	ac%		80	100	balance2		30	30																						0
Nokozan Relic	118	0	1		1	1	14	10	jew	Amulet		5	5000	lgld							dmg-fire		3	6	res-fire-max		10	10	res-fire		50	50	light		3	3	balance2		20	20																														0
The Eye of Etlich	119	0	1		1	1	20	15	jew	Amulet		5	5000	dgld							ac-miss		10	40	light		1	5	allskills		1	1	lifesteal		3	7	cold-min		1	2	cold-max		3	5	cold-len		50	250																						0
The Mahim-Oak Curio	120	0	1		1	1	34	25	jew	Amulet		5	5000	lpur							dex		10	10	str		10	10	enr		10	10	vit		10	10	ac		10	10	att%		10	10	res-all		10	10	ac%		10	10																		0
Nagelring	121	0	1		1	1	10	7	jew	Ring		5	5000	dpur							red-mag		3	3	thorns		3	3	att		50	75	mag%		15	30																																		0
Manald Heal	122	0	1		1	1	20	15	jew	Ring		5	5000	oran							manasteal		4	7	regen		5	8	hp		20	20	regen-mana		20	20																																		0
The Stone of Jordan	123	0	1		1	1	39	29	jew	Ring		5	5000	whit							mana		20	20	mana%		25	25	ltng-min		1	1	allskills		1	1	ltng-max		12	12																													1	0
Staff of Kings	124	0	1		1	1	0	0	msf	Staff		5	5000	dgry							res-all		10	10	swing3		50	50			0	0			0	0			0	0			0	0			0	0																						0
Horadric Staff	125	0	1		1	1	0	0	hst	Staff		5	5000	blac							mana		10	10	res-pois		25	25	hp		10	10	res-all		10	10	swing3		50	50			0	0			0	0																						0
Hell Forge Hammer	126	0	1		1	1	0	0	hfh	Hammer		5	5000	cred							fire-min		5	5	fire-max		20	20	res-fire		40	40	ac		35	35			0	0			0	0			0	0																						0
KhalimFlail	127	0	1		1	1	0	0	qf1	Flail		5	5000	dblu							ltng-min		1	1	ltng-max		20	20	swing3		50	50	att		40	40			0	0			0	0			0	0																						0
SuperKhalimFlail	128	0	1		1	1	0	0	qf2	Flail		5	5000	dblu							ltng-min		1	1	ltng-max		40	40	swing3		50	50	att		40	40	manasteal		6	6	lifesteal		6	6			0	0																						0
Expansion						1																																																																0
Coldkill	129	100	1		1	1	44	36	jew	Hatchet		5	5000	cblu	cblu						dmg-cold	50	40	40	res-cold		15	15	res-cold-max		15	15	swing3		30	30	hit-skill	45	10	10	gethit-skill	44	10	5	dmg%		150	190																						0
Butcher's Pupil	130	100	1		1	1	47	39	jew	Cleaver		5	5000	cblu	cblu						deadly		35	35	openwounds		25	25	dmg%		150	200	indestruct		1	1	swing3		30	30	dmg-norm		30	50																										0
Islestrike	131	100	1		1	1	51	43	jew	Twin Axe		5	5000								dru		2	2	str		10	10	dex		10	10	vit		10	10	enr		10	10	ac-miss		50	50	crush		25	25	dmg%		170	190	skill	233	1	1	skill	248	1	1										0
Pompe's Wrath	132	100	1		1	1	53	45	jew	Crowbill		5	5000	cred	cred						hit-skill	244	4	8	slow		50	50	dmg-fire		35	150	knock		1	1	dmg%		140	170																														0
Guardian Naga	133	100	1		1	1	56	48	jew	Naga		5	5000								hit-skill	92	5	8	thorns		15	15	res-pois		30	30	dmg%		150	180	dmg-pois	250	256	256	dmg-max		20	20																										0
Warlord's Trust	134	100	1		1	1	43	35	jew	Military Axe		5	5000	whit	whit						ac		75	75	regen		20	20	vit/lvl	4			res-all		10	10	rep-dur	25			dmg%		175	175																										0
Spellsteel	135	100	1		1	1	47	39	jew	Bearded Axe		5	5000	whit	whit						ease		-60	-60	mana		100	100	red-mag		12	15	cast1		10	10	dmg%		165	165	regen-mana		25	25	charged	54	20	1	charged	87	30	3	charged	101	100	10	charged	225	60	12										0
Stormrider	136	100	1		1	1	49	41	jew	Tabar		5	5000	lred	lred						hit-skill	53	5	10	hit-skill	38	10	0	dmg-ltng		1	200	dmg-norm		35	75	dmg%		100	100	dur		50	50	light-thorns		15	15	gethit-skill	38	15	5																		0
Boneslayer Blade	137	100	1		1	1	50	42	jew	Gothic Axe		5	5000								att-und/lvl	10			dmg-und/lvl	20			str		8	8	swing2		20	20	att%		35	35	dmg%		180	220	charged	101	200	20	gethit-skill	101	50	0																		0
The Minataur	138	100	1		1	1	53	45	jew	Ancient Axe		5	5000								stupidity		2	2	half-freeze		1	1	str		15	20	slow		50	50	crush		30	30	dmg-norm		20	30	dmg%		140	200																						0
Suicide Branch	139	100	1		1	1	41	33	jew	Burnt Wand		5	5000								thorns		25	25	cast2		50	50	res-all		10	10	mana%		10	10	hp		40	40	allskills		1	1																										0
